interpolation_sholuder   interpolation_elbow
0        0
-0.109947        -0.141361
-0.21991        -0.282741
-0.329881        -0.424133
-0.439855        -0.565528
-0.549824        -0.706916
-0.659782        -0.848291
-0.769723        -0.989644
-0.87964        -1.13097
-0.989527        -1.27225
-1.09938        -1.41348
-1.20923        -1.55472
-1.3191        -1.69599
-1.429        -1.83729
-1.5389        -1.97859
-1.64879        -2.11988
-1.75866        -2.26114
-1.8685        -2.40236
-1.97829        -2.54351
-2.08801        -2.68459
-2.19767        -2.82557
-2.30731        -2.96654
-2.417        -3.10757
-2.52671        -3.24863
-2.63643        -3.38969
-2.74614        -3.53075
-2.85581        -3.67176
-2.96543        -3.8127
-3.07498        -3.95355
-3.18444        -4.09428
-3.29379        -4.23487
-3.40312        -4.37544
-3.5125        -4.51608
-3.62193        -4.65676
-3.73136        -4.79746
-3.84077        -4.93813
-3.95014        -5.07875
-4.05944        -5.21928
-4.16864        -5.35968
-4.27773        -5.49993
-4.38666        -5.64
-4.49557        -5.78001
-4.60454        -5.92013
-4.71357        -6.0603
-4.8226        -6.20048
-4.93161        -6.34064
-5.04057        -6.48073
-5.14944        -6.62071
-5.25819        -6.76053
-5.36679        -6.90016
-5.47521        -7.03955
-5.58358        -7.17889
-5.69204        -7.31834
-5.80056        -7.45786
-5.90908        -7.59739
-6.01759        -7.7369
-6.12602        -7.87631
-6.23436        -8.0156
-6.34255        -8.1547
-6.45056        -8.29357
-6.55835        -8.43216
-6.66608        -8.57067
-6.77392        -8.70933
-6.88182        -8.84806
-6.98974        -8.9868
-7.09762        -9.12551
-7.20543        -9.26413
-7.31312        -9.40258
-7.42064        -9.54083
-7.52796        -9.6788
-7.63501        -9.81645
-7.742        -9.95401
-7.84911        -10.0917
-7.95629        -10.2295
-8.06349        -10.3673
-8.17065        -10.5051
-8.27773        -10.6428
-8.38467        -10.7803
-8.49142        -10.9175
-8.59793        -11.0545
-8.70415        -11.191
-8.81029        -11.3275
-8.91656        -11.4642
-9.02292        -11.6009
-9.12929        -11.7377
-9.23562        -11.8744
-9.34186        -12.011
-9.44794        -12.1474
-9.55381        -12.2835
-9.65942        -12.4192
-9.76469        -12.5546
-9.86988        -12.6898
-9.97521        -12.8253
-10.0806        -12.9608
-10.1861        -13.0964
-10.2915        -13.2319
-10.3968        -13.3673
-10.5019        -13.5024
-10.6068        -13.6373
-10.7114        -13.7718
-10.8156        -13.9058
-10.9197        -14.0396
-11.024        -14.1737
-11.1284        -14.3079
-11.2328        -14.4422
-11.3372        -14.5764
-11.4414        -14.7104
-11.5455        -14.8442
-11.6493        -14.9776
-11.7528        -15.1107
-11.8558        -15.2432
-11.9588        -15.3756
-12.0619        -15.5082
-12.1652        -15.641
-12.2685        -15.7737
-12.3717        -15.9064
-12.4748        -16.039
-12.5777        -16.1713
-12.6803        -16.3032
-12.7825        -16.4347
-12.8844        -16.5656
-12.9861        -16.6964
-13.088        -16.8274
-13.19        -16.9585
-13.292        -17.0897
-13.394        -17.2208
-13.4958        -17.3518
-13.5974        -17.4824
-13.6988        -17.6127
-13.7997        -17.7425
-13.9002        -17.8717
-14.0005        -18.0007
-14.1011        -18.1299
-14.2017        -18.2594
-14.3024        -18.3888
-14.4031        -18.5182
-14.5036        -18.6474
-14.6038        -18.7763
-14.7037        -18.9048
-14.8033        -19.0328
-14.9023        -19.1601
-15.0012        -19.2872
-15.1003        -19.4146
-15.1995        -19.5422
-15.2987        -19.6698
-15.3979        -19.7973
-15.497        -19.9247
-15.5958        -20.0517
-15.6942        -20.1783
-15.7922        -20.3043
-15.8897        -20.4296
-15.987        -20.5547
-16.0845        -20.6801
-16.1822        -20.8057
-16.2799        -20.9314
-16.3776        -21.0569
-16.4751        -21.1823
-16.5723        -21.3073
-16.6692        -21.4318
-16.7656        -21.5557
-16.8614        -21.6789
-16.957        -21.8019
-17.053        -21.9252
-17.149        -22.0487
-17.2451        -22.1723
-17.3411        -22.2957
-17.437        -22.4189
-17.5325        -22.5418
-17.6277        -22.6642
-17.7224        -22.7859
-17.8164        -22.9069
-17.9104        -23.0276
-18.0045        -23.1487
-18.0989        -23.27
-18.1932        -23.3913
-18.2875        -23.5125
-18.3816        -23.6335
-18.4754        -23.7541
-18.5688        -23.8742
-18.6617        -23.9936
-18.7539        -24.1122
-18.846        -24.2306
-18.9384        -24.3493
-19.0309        -24.4682
-19.1234        -24.5872
-19.2159        -24.7061
-19.3081        -24.8247
-19.4001        -24.943
-19.4916        -25.0606
-19.5826        -25.1776
-19.6729        -25.2938
-19.7631        -25.4096
-19.8535        -25.5259
-19.9441        -25.6424
-20.0347        -25.7589
-20.1252        -25.8753
-20.2156        -25.9915
-20.3056        -26.1072
-20.3952        -26.2224
-20.4842        -26.3368
-20.5725        -26.4503
-20.6606        -26.5636
-20.749        -26.6773
-20.8376        -26.7912
-20.9262        -26.9051
-21.0148        -27.019
-21.1031        -27.1325
-21.1911        -27.2457
-21.2786        -27.3582
-21.3655        -27.47
