shoulder_practical_trace   elbow_practical_trace
0        0
0        0
0        0
0        0
0        0
0        0
-0.036        0
-0.225        0
-0.387        0
-0.486        0
-0.621        0
-0.765        0
-0.873        0
-0.954        -0.144
-1.134        -0.324
-1.305        -0.504
-1.422        -0.54
-1.539        -0.558
-1.71        -0.657
-1.89        -0.837
-2.106        -1.044
-2.268        -1.332
-2.358        -1.845
-2.439        -2.529
-2.628        -3.132
-2.79        -3.456
-2.844        -3.591
-2.862        -3.681
-2.952        -3.924
-3.141        -4.248
-3.303        -4.545
-3.402        -4.689
-3.447        -4.752
-3.51        -4.824
-3.645        -4.977
-3.807        -5.193
-3.933        -5.409
-4.023        -5.544
-4.095        -5.634
-4.203        -5.733
-4.329        -5.886
-4.464        -6.057
-4.581        -6.201
-4.671        -6.309
-4.77        -6.417
-4.869        -6.516
-4.995        -6.57
-5.094        -6.624
-5.202        -6.696
-5.31        -6.813
-5.418        -6.993
-5.526        -7.236
-5.652        -7.452
-5.769        -7.641
-5.868        -7.785
-5.958        -7.893
-6.057        -7.992
-6.174        -8.109
-6.291        -8.253
-6.39        -8.424
-6.507        -8.595
-6.624        -8.748
-6.732        -8.892
-6.831        -9.009
-6.93        -9.135
-7.038        -9.261
-7.155        -9.396
-7.263        -9.513
-7.38        -9.621
-7.488        -9.729
-7.587        -9.846
-7.686        -9.972
-7.785        -10.116
-7.893        -10.296
-8.01        -10.449
-8.118        -10.62
-8.235        -10.764
-8.334        -10.908
-8.424        -11.025
-8.532        -11.133
-8.649        -11.241
-8.748        -11.358
-8.865        -11.52
-8.982        -11.7
-9.099        -11.862
-9.198        -11.988
-9.288        -12.078
-9.378        -12.177
-9.495        -12.312
-9.621        -12.456
-9.729        -12.636
-9.828        -12.78
-9.918        -12.924
-10.026        -13.032
-10.134        -13.14
-10.233        -13.257
-10.341        -13.419
-10.44        -13.563
-10.557        -13.716
-10.665        -13.851
-10.773        -13.968
-10.872        -14.085
-10.971        -14.229
-11.07        -14.373
-11.187        -14.508
-11.304        -14.643
-11.403        -14.76
-11.493        -14.868
-11.592        -14.985
-11.7        -15.138
-11.808        -15.3
-11.907        -15.444
-12.006        -15.561
-12.096        -15.651
-12.204        -15.741
-12.312        -15.876
-12.42        -16.02
-12.528        -16.173
-12.618        -16.326
-12.726        -16.461
-12.825        -16.587
-12.933        -16.704
-13.023        -16.821
-13.131        -16.956
-13.23        -17.082
-13.347        -17.217
-13.464        -17.37
-13.581        -17.505
-13.671        -17.631
-13.743        -17.73
-13.833        -17.856
-13.932        -18
-14.049        -18.153
-14.157        -18.288
-14.256        -18.396
-14.337        -18.495
-14.436        -18.612
-14.553        -18.747
-14.661        -18.909
